0.000000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan
0.048000;1000.001778;10.000016;10.000016;10.000016;10.000016;10.000016;100.108747;11.000014;11.000014;23.200074;10.001224;8.000248;9.345598;9.575997;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.049000;1000.002059;10.000004;10.000004;10.000004;10.000004;10.000004;100.125664;11.000004;11.000004;25.253222;10.001414;8.000286;9.367535;9.612559;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.050000;1000.002413;10.000000;10.000000;10.000000;10.000000;10.000000;100.146822;11.000000;11.000000;27.812619;10.000000;8.000333;9.390148;9.650246;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.051000;1000.002952;10.000004;10.000004;10.000004;10.000004;10.000004;100.178842;11.000004;11.000004;30.878267;10.022502;8.000403;9.413435;9.689058;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.052000;1000.003545;10.000016;10.000016;10.000016;10.000016;10.000016;100.214016;11.000014;11.000014;34.450166;10.090004;8.000479;9.437397;9.728995;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.053000;1000.004193;10.000036;10.000036;10.000036;10.000036;10.000036;100.252345;11.000032;11.000032;38.528314;10.202505;8.000561;9.462034;9.770056;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.054000;1000.004896;10.000064;10.000064;10.000064;10.000064;10.000064;100.293827;11.000058;11.000058;43.112714;10.360007;8.000649;9.487346;9.812243;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.055000;1000.005652;10.000100;10.000100;10.000100;10.000100;10.000100;100.338460;11.000090;11.000090;48.203364;10.562509;8.000742;9.513333;9.855555;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.056000;1000.006461;10.000144;10.000144;10.000144;10.000144;10.000144;100.386242;11.000130;11.000130;53.800264;10.810011;8.000841;9.539995;9.899991;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.057000;1000.007323;10.000196;10.000196;10.000196;10.000196;10.000196;100.437173;11.000176;11.000176;59.903414;11.102513;8.000946;9.567332;9.945553;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
